phase,op_rate_per_second,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_p999_ms,total_errors
write,6617,4.4,5.1,5.6,6.0,7.9,0
read,43916,0.3,0.2,0.6,1.4,15.3,0
mixed,12603,2.4,1.2,5.8,6.5,8.5,0
