phase,total_seconds,requests_per_second,average_seconds,p50_seconds,p90_seconds,p99_seconds
mixed,29.894538602,1676.4935116492152,0.024946384475377562,0.024625247,0.03399102,0.047815913
put,1.370184286,145965.76682678435,0.0004350851768900065,0.000334942,0.000800355,0.00157592
range-linearizable,1.066001674,187616.96616247526,0.00033701150732500266,0.000281662,0.000559004,0.001218919
