phase,total_seconds,requests_per_second,average_seconds,p50_seconds,p90_seconds,p99_seconds
mixed,0.252370088,9902.124375373678,0.0009497406262504999,0.00087785,0.001440777,0.002792733
put,0.127779533,78259.79454784829,0.0002011642977999997,0.000155061,0.000345384,0.000795069
range-linearizable,0.09931965,100685.01046872397,0.00015656396210000036,0.000120961,0.000268373,0.000664298
