phase,total_seconds,requests_per_second,average_seconds,p50_seconds,p90_seconds,p99_seconds
mixed,29.456143718,1701.071276664797,0.02496637636585715,0.025054719,0.033284985,0.0414652
put,1.360703835,146982.75617044908,0.00043244363721999397,0.000330312,0.000813765,0.001632351
range-linearizable,1.046729391,191071.35207976596,0.0003307721766950036,0.000280142,0.000545934,0.001164868
