workload	lanes	touch	repeat	topology_preflight_representative	topology_preflight_warnings	logical_4k_iops	first_hop_Gibitps	branch_or_ref_Gibitps	payload_copy_bytes	payload_reference_bytes	control_descriptor_bytes	observed_payload_touch_bytes	local_memory_traffic_bytes_lower_bound	payload_slots_per_lane	working_set_records	client_visible_read_records	internal_dirty_cache_read_records	dirty_table_bytes	syncs	sync_wait_seconds	dirty_window_drains	ack_records	acks	ack_wait_seconds	voluntary_ctxt_switches	involuntary_ctxt_switches	migrations	sync_wait_p50_ns	ack_wait_p50_ns	dirty_window_wait_p50_ns	fan_leaf_sync_wait_p50_ns	fan_leaf_ack_wait_p50_ns	hwm_only_results	leaf_batch_delay_ns	early_client_responses	client_response_release	payload_slot_reuse	fan_touch_payload	leaf_touch_payload	zero_copy_forwarding_target	lane_cpu_map
zcnblk-shm-mirror-dirty-cache	1	none	1	0	4	9443115	154.716	309.432	0	536870912	12582912	0	12582912	65536	65536	65536	65536	524288	2	0.023379	0	0	0	0.000000	0	6	0	11000000	0	0	11000000	0	true	100000	false	mirror-leaf-hwm	client-response-consumed	false	false	1	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3
zcnblk-shm-mirror-dirty-cache	1	none	2	0	4	4984070	81.659	163.318	0	536870912	12582912	0	12582912	65536	65536	65536	65536	524288	2	0.048995	0	0	0	0.000000	0	15	0	24000000	0	0	24000000	0	true	100000	false	mirror-leaf-hwm	client-response-consumed	false	false	1	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3
