zcnblk-shm-target: device=/dev/zcnblk-shmctl backend=WalTcp channels=32 ring_entries=2048 payload_entries=8192 slot_bytes=4096 region_bytes=1084235776 capacity_bytes=17179869184 kick_batch=128 lease_release_batch=1 writeback_batch=65536 read_batch=2048 read_batch_fill_us=0 read_batch_fill_min=32 write_batch_fill_us=50 write_batch_fill_min=2048 remote_leaf=172.31.33.252:34547->172.31.40.136:29000 cpu_list=97,103,109,115,121,127,133,139,145,151,157,163,169,175,181,187,1,7,13,19,25,31,37,43,49,55,61,67,73,79,85,91 owner_dispatch=false owner_extent_records=256 owner_max_tx_iovecs=960 split_transport=false transport_cpu_list=inline transport_wait=greedy poll_us=50 busy_poll_us=1000 busy_hysteresis_us=10000 wait_policy=adaptive-active-burst ordering=lane-local-ingress+stable-extent-owner+sector-predecessor+global-sync-hwm shared_payload_slots=true payload_ownership=submit-sequence-token-transfer placement_owner=downstream-userspace-stage block_client_placement=no representative=true 
zcnblk-shm-target-wal-lane: channel=11 cpu=163 transport_cpu=owner:165 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=2075 dirty_pressure_evictions=9869 max_payload_slots_outstanding=2284 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.254874 active_iops=39235 remote_batches=99 avg_remote_batch_records=101.01 kicks=89 idle_polls=22
zcnblk-shm-target-wal-lane: channel=12 cpu=169 transport_cpu=owner:171 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1729 dirty_pressure_evictions=9957 max_payload_slots_outstanding=949 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.222873 active_iops=44869 remote_batches=75 avg_remote_batch_records=133.33 kicks=76 idle_polls=33
zcnblk-shm-target-wal-lane: channel=13 cpu=175 transport_cpu=owner:177 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1787 dirty_pressure_evictions=9922 max_payload_slots_outstanding=1425 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.237408 active_iops=42122 remote_batches=74 avg_remote_batch_records=135.14 kicks=65 idle_polls=26
zcnblk-shm-target-wal-lane: channel=14 cpu=181 transport_cpu=owner:183 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1758 dirty_pressure_evictions=9945 max_payload_slots_outstanding=1306 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.230971 active_iops=43296 remote_batches=76 avg_remote_batch_records=131.58 kicks=67 idle_polls=30
zcnblk-shm-target-wal-lane: channel=15 cpu=187 transport_cpu=owner:189 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1846 dirty_pressure_evictions=9847 max_payload_slots_outstanding=2504 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.241379 active_iops=41429 remote_batches=68 avg_remote_batch_records=147.06 kicks=64 idle_polls=25
zcnblk-shm-target-wal-lane: channel=16 cpu=1 transport_cpu=owner:3 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1964 dirty_pressure_evictions=9919 max_payload_slots_outstanding=1538 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.216768 active_iops=46132 remote_batches=226 avg_remote_batch_records=44.25 kicks=199 idle_polls=37
zcnblk-shm-target-wal-lane: channel=17 cpu=7 transport_cpu=owner:9 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1973 dirty_pressure_evictions=9907 max_payload_slots_outstanding=1392 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.222952 active_iops=44853 remote_batches=218 avg_remote_batch_records=45.87 kicks=188 idle_polls=33
zcnblk-shm-target-wal-lane: channel=18 cpu=13 transport_cpu=owner:15 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1765 dirty_pressure_evictions=9953 max_payload_slots_outstanding=690 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.199531 active_iops=50117 remote_batches=194 avg_remote_batch_records=51.55 kicks=174 idle_polls=52
zcnblk-shm-target-wal-lane: channel=19 cpu=19 transport_cpu=owner:21 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=2124 dirty_pressure_evictions=9909 max_payload_slots_outstanding=1513 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.233327 active_iops=42858 remote_batches=170 avg_remote_batch_records=58.82 kicks=147 idle_polls=29
zcnblk-shm-target-wal-lane: channel=20 cpu=25 transport_cpu=owner:27 requests=10000 writes=10000 reads=0 syncs=0 early_write_acks=10000 dirty_read_hits=0 dirty_read_refs=0 dirty_pressure_events=1767 dirty_pressure_evictions=9964 max_payload_slots_outstanding=647 remote_read_misses=0 completion_window_stalls=0 active_seconds=0.204534 active_iops=48892 remote_batches=240 avg_remote_batch_records=41.67 kicks=211 idle_polls=48
