phase,total_seconds,requests_per_second,average_seconds,p50_seconds,p90_seconds,p99_seconds
mixed,28.815821555,1742.7231739393662,0.02192820305852481,0.021858957,0.030813948,0.04002622
put,14.457219916,13833.918357889632,0.004624220550535049,0.00458304,0.005224906,0.010101568
range-linearizable,1.036164151,193019.60968923738,0.000327802057615002,0.000275401,0.000541904,0.001145228
