phase,total_seconds,requests_per_second,average_seconds,p50_seconds,p90_seconds,p99_seconds
mixed,0.489349796,4988.251798515105,0.002941726384678413,0.002725384,0.004253171,0.009774969
put,0.614899355,8131.412009693846,0.003926012627799993,0.003988879,0.00412634,0.006867354
range-linearizable,0.080203237,124683.24688690557,0.00025254143669999925,0.000190721,0.000432772,0.001273427
