phase,read_iops,write_iops,read_bytes_per_second,write_bytes_per_second,read_clat_mean_us,write_clat_mean_us,read_clat_p95_us,write_clat_p95_us,read_clat_p99_us,write_clat_p99_us,sync_ios,sync_lat_mean_us,sync_lat_p95_us,sync_lat_p99_us,errors
metadata-create,0.0,249.376559,0,1021446,0.0,2.7906999999999997,0.0,3.984,0.0,5.024,0,0.0,0.0,0.0,0
sync-write-qd1,0.0,496.003996,0,2031632,0.0,2.406182276,0.0,4.192,0.0,5.536,993,2012.486706949,2375.68,2539.52,0
random-mixed-qd1,9733.766234,4141.358641,39869506,16963004,20.937115821,189.03610143499998,32.64,2113.536,37.12,2113.536,0,0.0,0.0,0.0,0
random-mixed-qd16,9030.95357,3997.503744,36990785,16373775,32.416072143,3922.857491195,53.504,5079.04,77.312,5275.648,0,0.0,0.0,0.0,0
stream-write,0.0,558.951965,0,586103615,0.0,28362.974296875,0.0,43253.76,0.0,43253.76,0,0.0,0.0,0.0,0
stream-read-warm,14222.222222,0.0,14913080888,0,1006.89678125,0.0,1613.824,0.0,1957.888,0.0,0,0.0,0.0,0.0,0
