phase,total_seconds,requests_per_second,average_seconds,p50_seconds,p90_seconds,p99_seconds
mixed,28.079193124,1781.9244227938236,0.02375193530054963,0.023825632,0.031761446,0.039390457
put,1.356236542,147466.9010946027,0.00043063947471499574,0.000327813,0.000800236,0.001623361
range-linearizable,1.081758334,184884.17765219638,0.0003416353173600034,0.000283992,0.000567754,0.001235229
