phase,records,records_per_second,MB_per_second,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_p999_ms,latency_max_ms
producer-durable,2000,293.599530,1.15,3369.19,3414,6196,6483,6540,6543.00
producer-stream,20000,43763.676149,170.95,3.56,3,6,8,12,213.00
