fill_us,exit_code,outdir
0,1,bench-results/local-zcnblk-wal-lane1-fill-sweep-20260711T123548Z/fill-0us
2,1,bench-results/local-zcnblk-wal-lane1-fill-sweep-20260711T123548Z/fill-2us
5,1,bench-results/local-zcnblk-wal-lane1-fill-sweep-20260711T123548Z/fill-5us
10,1,bench-results/local-zcnblk-wal-lane1-fill-sweep-20260711T123548Z/fill-10us
20,1,bench-results/local-zcnblk-wal-lane1-fill-sweep-20260711T123548Z/fill-20us
