workload	lanes	touch	repeat	logical_4k_iops	first_hop_Gibitps	branch_or_ref_Gibitps	payload_copy_bytes	observed_payload_touch_bytes	voluntary_ctxt_switches	involuntary_ctxt_switches	migrations	sync_wait_p50_ns	dirty_window_wait_p50_ns	fan_leaf_sync_wait_p50_ns	lane_cpu_map
zcnblk-shm-onramp	1	none	1	187023103	3064.187	3064.187	0	0	0	0	0	66000	0		lane0:client-onrampcpu0->fan-ingresscpu1
zcnblk-shm-onramp	1	none	2	184238116	3018.557	3018.557	0	0	0	0	0	66000	0		lane0:client-onrampcpu0->fan-ingresscpu1
zcnblk-shm-onramp	1	cacheline	1	104622773	1714.140	1714.140	0	256000000	0	1	0	66000	0		lane0:client-onrampcpu0->fan-ingresscpu1
zcnblk-shm-onramp	1	cacheline	2	109477518	1793.680	1793.680	0	256000000	0	0	0	65000	0		lane0:client-onrampcpu0->fan-ingresscpu1
zcnblk-shm-onramp	2	none	1	371013908	6078.692	6078.692	0	0	0	0	0	67000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3
zcnblk-shm-onramp	2	none	2	374365089	6133.598	6133.598	0	0	0	1	0	67000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3
zcnblk-shm-onramp	2	cacheline	1	200394547	3283.264	3283.264	0	512000000	0	0	0	66000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3
zcnblk-shm-onramp	2	cacheline	2	203332725	3331.403	3331.403	0	512000000	0	0	0	66000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3
zcnblk-shm-onramp	4	none	1	719849832	11794.020	11794.020	0	0	0	1	0	67000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-onramp	4	none	2	743850656	12187.249	12187.249	0	0	0	1	0	67000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
zcnblk-shm-onramp	4	cacheline	1	347296746	5690.110	5690.110	0	1024000000	0	2	0	66000	0		lane0:client-onrampcpu0->fan-ingresscpu1,lane1:client-onrampcpu2->fan-ingresscpu3,lane2:client-onrampcpu4->fan-ingresscpu5,lane3:client-onrampcpu6->fan-ingresscpu7
