raid	mode	op	leaves	rc	iops	gbitps	write_p50_us	write_p99_us	read_p50_us	read_p99_us	fan_vol_cs	fan_invol_cs	fan_cs_per_1k_io	branch_payload_mib	max_leaf_submit	max_outstanding	upstream_idle_drains
raid0	stripe	write	2	1													
raid1	mirror	write	2	1													
raid10	raid10	write	4	1													
raid0	stripe	read	2	1													
raid1	mirror	read	2	1													
raid10	raid10	read	4	1													
