role	instance_id	public_management_ip	private_data_ip	az	instance_type
client-wal-stage	i-07822c966b0ffebaf	3.134.107.200	172.31.32.47	us-east-2c	c8gn.2xlarge
terminal-userspace-leaf	i-03c66702bd4d0b9bd	13.59.184.185	172.31.39.40	us-east-2c	c8gn.2xlarge
