phase,op_rate_per_second,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_p999_ms,total_errors
write,3440,0.4,0.3,0.8,2.6,6.1,0
read,5480,0.4,0.3,0.7,1.2,9.4,0
mixed,15257,0.4,0.3,0.8,1.3,6.5,0
