workload	lanes	touch	repeat	logical_4k_iops	first_hop_Gibitps	branch_or_ref_Gibitps	payload_copy_bytes	observed_payload_touch_bytes	voluntary_ctxt_switches	involuntary_ctxt_switches	migrations	sync_wait_p50_ns	dirty_window_wait_p50_ns	fan_leaf_sync_wait_p50_ns	lane_cpu_map
zcnblk-shm-pipeline	4	cacheline	2	122651022	2009.514	2009.514	0	460800000	0	2	0	71000	0	17000	lane0:client_cpu0->fan_cpu1->leaf_cpu2,lane1:client_cpu3->fan_cpu4->leaf_cpu5,lane2:client_cpu6->fan_cpu7->leaf_cpu8,lane3:client_cpu9->fan_cpu10->leaf_cpu11
zcnblk-shm-mirror	1	none	1	116549868	1909.553	3819.106	0	0	0	0	0	25000	0	23000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3
zcnblk-shm-mirror	1	none	2	112426017	1841.988	3683.976	0	0	0	0	0	43000	0	23000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3
zcnblk-shm-mirror	1	cacheline	1	42933199	703.418	1406.835	0	153600000	0	0	0	70000	0	25000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3
zcnblk-shm-mirror	1	cacheline	2	43180416	707.468	1414.936	0	153600000	0	2	0	71000	0	25000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3
zcnblk-shm-mirror	2	none	1	222571618	3646.613	7293.227	0	0	0	0	0	26000	0	23000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7
zcnblk-shm-mirror	2	none	2	221998045	3637.216	7274.432	0	0	0	0	0	35000	0	23000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7
zcnblk-shm-mirror	2	cacheline	1	78449472	1285.316	2570.632	0	307200000	0	0	0	70000	0	26000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7
zcnblk-shm-mirror	2	cacheline	2	77669094	1272.530	2545.061	0	307200000	0	0	0	80000	0	26000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7
zcnblk-shm-mirror	4	none	1	436028845	7143.897	14287.793	0	0	0	0	0	34000	0	23000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror	4	none	2	435248293	7131.108	14262.216	0	0	0	0	0	47000	0	23000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror	4	cacheline	1	111676588	1829.709	3659.418	0	614400000	0	0	0	71000	0	26000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror	4	cacheline	2	114957432	1883.463	3766.925	0	614400000	0	4	0	76000	0	26000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
