phase,voluntary_context_switches,nonvoluntary_context_switches
metadata-create,37,0
sync-write-qd1,77749,26
random-mixed-qd1,73934,18
random-mixed-qd16,420854,3817
stream-write,41,0
stream-read-warm,14,0
