workload	lanes	touch	repeat	topology_preflight_representative	topology_preflight_warnings	logical_4k_iops	first_hop_Gibitps	branch_or_ref_Gibitps	payload_copy_bytes	payload_reference_bytes	control_descriptor_bytes	observed_payload_touch_bytes	local_memory_traffic_bytes_lower_bound	payload_slots_per_lane	working_set_records	client_visible_read_records	internal_dirty_cache_read_records	dirty_table_bytes	syncs	sync_wait_seconds	dirty_window_drains	ack_records	acks	ack_wait_seconds	voluntary_ctxt_switches	involuntary_ctxt_switches	migrations	sync_wait_p50_ns	ack_wait_p50_ns	dirty_window_wait_p50_ns	fan_leaf_sync_wait_p50_ns	fan_leaf_ack_wait_p50_ns	hwm_only_results	leaf_batch_delay_ns	early_client_responses	client_response_release	payload_slot_reuse	fan_touch_payload	leaf_touch_payload	zero_copy_forwarding_target	lane_cpu_map
zcnblk-shm-mirror-dirty-cache	1	none	1	0	4	6134623	100.510	201.019	0	536870912	12582912	0	12582912	65536	65536	65536	65536	524288	2	0.012364	0	0	0	0.000000	0	20	0	2000000	0	0	11000000	0	true	100000	true	local-dirty-cache	mirror-leaf-hwm	false	false	1	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3
zcnblk-shm-mirror-dirty-cache	1	none	2	0	4	6061651	99.314	198.628	0	536870912	12582912	0	12582912	65536	65536	65536	65536	524288	2	0.016707	0	0	0	0.000000	0	6	0	3000000	0	0	15000000	0	true	100000	true	local-dirty-cache	mirror-leaf-hwm	false	false	1	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3
