172.31.42.163 dev ens34 src 172.31.40.202 uid 1000 
    cache 
PING 172.31.42.163 (172.31.42.163) 56(84) bytes of data.
64 bytes from 172.31.42.163: icmp_seq=1 ttl=64 time=0.461 ms
64 bytes from 172.31.42.163: icmp_seq=2 ttl=64 time=0.086 ms
64 bytes from 172.31.42.163: icmp_seq=3 ttl=64 time=0.077 ms
64 bytes from 172.31.42.163: icmp_seq=4 ttl=64 time=0.073 ms
64 bytes from 172.31.42.163: icmp_seq=5 ttl=64 time=0.073 ms
64 bytes from 172.31.42.163: icmp_seq=6 ttl=64 time=0.073 ms
64 bytes from 172.31.42.163: icmp_seq=7 ttl=64 time=0.071 ms
64 bytes from 172.31.42.163: icmp_seq=8 ttl=64 time=0.070 ms
64 bytes from 172.31.42.163: icmp_seq=9 ttl=64 time=0.074 ms
64 bytes from 172.31.42.163: icmp_seq=10 ttl=64 time=0.075 ms
64 bytes from 172.31.42.163: icmp_seq=11 ttl=64 time=0.076 ms
64 bytes from 172.31.42.163: icmp_seq=12 ttl=64 time=0.079 ms
64 bytes from 172.31.42.163: icmp_seq=13 ttl=64 time=0.085 ms
64 bytes from 172.31.42.163: icmp_seq=14 ttl=64 time=0.080 ms
64 bytes from 172.31.42.163: icmp_seq=15 ttl=64 time=0.078 ms
64 bytes from 172.31.42.163: icmp_seq=16 ttl=64 time=0.076 ms
64 bytes from 172.31.42.163: icmp_seq=17 ttl=64 time=0.078 ms
64 bytes from 172.31.42.163: icmp_seq=18 ttl=64 time=0.077 ms
64 bytes from 172.31.42.163: icmp_seq=19 ttl=64 time=0.071 ms
64 bytes from 172.31.42.163: icmp_seq=20 ttl=64 time=0.076 ms
64 bytes from 172.31.42.163: icmp_seq=21 ttl=64 time=0.078 ms
64 bytes from 172.31.42.163: icmp_seq=22 ttl=64 time=0.076 ms
64 bytes from 172.31.42.163: icmp_seq=23 ttl=64 time=0.073 ms
64 bytes from 172.31.42.163: icmp_seq=24 ttl=64 time=0.074 ms
64 bytes from 172.31.42.163: icmp_seq=25 ttl=64 time=0.076 ms
64 bytes from 172.31.42.163: icmp_seq=26 ttl=64 time=0.076 ms
64 bytes from 172.31.42.163: icmp_seq=27 ttl=64 time=0.076 ms
64 bytes from 172.31.42.163: icmp_seq=28 ttl=64 time=0.075 ms
64 bytes from 172.31.42.163: icmp_seq=29 ttl=64 time=0.070 ms
64 bytes from 172.31.42.163: icmp_seq=30 ttl=64 time=0.105 ms
64 bytes from 172.31.42.163: icmp_seq=31 ttl=64 time=0.076 ms
64 bytes from 172.31.42.163: icmp_seq=32 ttl=64 time=0.072 ms
64 bytes from 172.31.42.163: icmp_seq=33 ttl=64 time=0.077 ms
64 bytes from 172.31.42.163: icmp_seq=34 ttl=64 time=0.070 ms
64 bytes from 172.31.42.163: icmp_seq=35 ttl=64 time=0.076 ms
64 bytes from 172.31.42.163: icmp_seq=36 ttl=64 time=0.075 ms
64 bytes from 172.31.42.163: icmp_seq=37 ttl=64 time=0.071 ms
64 bytes from 172.31.42.163: icmp_seq=38 ttl=64 time=0.072 ms
64 bytes from 172.31.42.163: icmp_seq=39 ttl=64 time=0.077 ms
64 bytes from 172.31.42.163: icmp_seq=40 ttl=64 time=0.069 ms

--- 172.31.42.163 ping statistics ---
40 packets transmitted, 40 received, 0% packet loss, time 1989ms
rtt min/avg/max/mdev = 0.069/0.085/0.461/0.060 ms
