phase,read_iops,write_iops,read_bytes_per_second,write_bytes_per_second,read_clat_mean_us,write_clat_mean_us,read_clat_p95_us,write_clat_p95_us,read_clat_p99_us,write_clat_p99_us,sync_ios,sync_lat_mean_us,sync_lat_p95_us,sync_lat_p99_us,errors
metadata-create,0.0,2000.0,0,8192000,0.0,9.465,0.0,16.192,0.0,16.192,0,0.0,0.0,0.0,0
sync-write-qd1,0.0,38133.866134,0,156196315,0.0,1.957915069,0.0,2.384,0.0,2.992,38172,23.708982736000003,26.752,31.872,0
random-mixed-qd1,29065.934066,12449.55045,119054065,50993358,22.97089579,23.930120526,25.472,26.752,31.104,31.36,0,0.0,0.0,0.0,0
random-mixed-qd16,216361.638362,93066.933067,886217270,381202157,50.341053071000005,51.584021587,94.72,96.768,122.368,124.416,0,0.0,0.0,0.0,0
stream-write,0.0,2000.0,0,2097152000,0.0,1081.8285,0.0,1089.536,0.0,1089.536,0,0.0,0.0,0.0,0
stream-read-warm,2000.0,0.0,2097152000,0,871.6875,0.0,872.448,0.0,872.448,0.0,0,0.0,0.0,0.0,0
