phase,voluntary_context_switches,nonvoluntary_context_switches
metadata-create,35,0
sync-write-qd1,76372,17
random-mixed-qd1,83136,27
random-mixed-qd16,371602,3326
stream-write,45,1
stream-read-warm,14,0
