submit	qd	rc	iops	gbitps	write_p50_us	write_p99_us	fan_vol_cs	fan_invol_cs	fan_cs_per_1k_io	max_leaf_submit	max_outstanding	upstream_idle_drains
blocking	4096	0	1711883	56.095	127000.0	143000.0	24073	70	14.1	32	64	3
mixed	4096	0	1783199	58.432	121000.0	138000.0	23804	79	13.4	32	64	24
