172.31.39.61 dev ens34 src 172.31.38.129 uid 1000 
    cache 
PING 172.31.39.61 (172.31.39.61) 56(84) bytes of data.
64 bytes from 172.31.39.61: icmp_seq=1 ttl=64 time=0.695 ms
64 bytes from 172.31.39.61: icmp_seq=2 ttl=64 time=0.192 ms
64 bytes from 172.31.39.61: icmp_seq=3 ttl=64 time=0.176 ms
64 bytes from 172.31.39.61: icmp_seq=4 ttl=64 time=0.175 ms
64 bytes from 172.31.39.61: icmp_seq=5 ttl=64 time=0.176 ms
64 bytes from 172.31.39.61: icmp_seq=6 ttl=64 time=0.185 ms
64 bytes from 172.31.39.61: icmp_seq=7 ttl=64 time=0.175 ms
64 bytes from 172.31.39.61: icmp_seq=8 ttl=64 time=0.181 ms
64 bytes from 172.31.39.61: icmp_seq=9 ttl=64 time=0.185 ms
64 bytes from 172.31.39.61: icmp_seq=10 ttl=64 time=0.179 ms
64 bytes from 172.31.39.61: icmp_seq=11 ttl=64 time=0.184 ms
64 bytes from 172.31.39.61: icmp_seq=12 ttl=64 time=0.178 ms
64 bytes from 172.31.39.61: icmp_seq=13 ttl=64 time=0.175 ms
64 bytes from 172.31.39.61: icmp_seq=14 ttl=64 time=0.173 ms
64 bytes from 172.31.39.61: icmp_seq=15 ttl=64 time=0.175 ms
64 bytes from 172.31.39.61: icmp_seq=16 ttl=64 time=0.172 ms
64 bytes from 172.31.39.61: icmp_seq=17 ttl=64 time=0.168 ms
64 bytes from 172.31.39.61: icmp_seq=18 ttl=64 time=0.169 ms
64 bytes from 172.31.39.61: icmp_seq=19 ttl=64 time=0.175 ms
64 bytes from 172.31.39.61: icmp_seq=20 ttl=64 time=0.175 ms
64 bytes from 172.31.39.61: icmp_seq=21 ttl=64 time=0.169 ms
64 bytes from 172.31.39.61: icmp_seq=22 ttl=64 time=0.175 ms
64 bytes from 172.31.39.61: icmp_seq=23 ttl=64 time=0.172 ms
64 bytes from 172.31.39.61: icmp_seq=24 ttl=64 time=0.179 ms
64 bytes from 172.31.39.61: icmp_seq=25 ttl=64 time=0.186 ms
64 bytes from 172.31.39.61: icmp_seq=26 ttl=64 time=0.184 ms
64 bytes from 172.31.39.61: icmp_seq=27 ttl=64 time=0.183 ms
64 bytes from 172.31.39.61: icmp_seq=28 ttl=64 time=0.179 ms
64 bytes from 172.31.39.61: icmp_seq=29 ttl=64 time=0.178 ms
64 bytes from 172.31.39.61: icmp_seq=30 ttl=64 time=0.175 ms
64 bytes from 172.31.39.61: icmp_seq=31 ttl=64 time=0.178 ms
64 bytes from 172.31.39.61: icmp_seq=32 ttl=64 time=0.172 ms
64 bytes from 172.31.39.61: icmp_seq=33 ttl=64 time=0.181 ms
64 bytes from 172.31.39.61: icmp_seq=34 ttl=64 time=0.172 ms
64 bytes from 172.31.39.61: icmp_seq=35 ttl=64 time=0.176 ms
64 bytes from 172.31.39.61: icmp_seq=36 ttl=64 time=0.178 ms
64 bytes from 172.31.39.61: icmp_seq=37 ttl=64 time=0.180 ms
64 bytes from 172.31.39.61: icmp_seq=38 ttl=64 time=0.176 ms
64 bytes from 172.31.39.61: icmp_seq=39 ttl=64 time=0.173 ms
64 bytes from 172.31.39.61: icmp_seq=40 ttl=64 time=0.168 ms

--- 172.31.39.61 ping statistics ---
40 packets transmitted, 40 received, 0% packet loss, time 1990ms
rtt min/avg/max/mdev = 0.168/0.189/0.695/0.081 ms
