phase,total_seconds,requests_per_second,average_seconds,p50_seconds,p90_seconds,p99_seconds
mixed,28.899539315,1730.8926434698083,0.02199620174911043,0.021932768,0.030802818,0.039353765
put,14.398222891,13890.603133044664,0.004604420059779926,0.004664632,0.005253616,0.010326151
range-linearizable,1.040417995,192230.4313854164,0.00032951743040500036,0.000275492,0.000538043,0.001195998
