phase,voluntary_context_switches,nonvoluntary_context_switches
metadata-create,315,0
sync-write-qd1,69607,27
random-mixed-qd1,73695,14
random-mixed-qd16,386837,3779
stream-write,28,2
stream-read-warm,65,0
