workload	lanes	touch	repeat	logical_4k_iops	first_hop_Gibitps	branch_or_ref_Gibitps	payload_copy_bytes	payload_reference_bytes	control_descriptor_bytes	observed_payload_touch_bytes	local_memory_traffic_bytes_lower_bound	voluntary_ctxt_switches	involuntary_ctxt_switches	migrations	sync_wait_p50_ns	dirty_window_wait_p50_ns	fan_leaf_sync_wait_p50_ns	lane_cpu_map
zcnblk-shm-mirror-dirty-cache	4	full	1	13267068	144.912	289.824	0	16384000000	384000000	8192000000	8576000000	0	17	0	684000	2000000	265000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror-dirty-cache	4	full	2	13045865	142.496	284.991	0	16384000000	384000000	8192000000	8576000000	0	37	0	701000	2000000	323000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror-dirty-cache	4	full	3	12845131	140.303	280.606	0	16384000000	384000000	8192000000	8576000000	0	22	0	671000	2000000	368000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
