medium,phase,repeats,median_requests_per_second,min_requests_per_second,max_requests_per_second,median_p50_seconds,median_p99_seconds
tmpfs,put,3,146982.75617044908,145965.76682678435,147466.9010946027,0.000330312,0.001623361
tmpfs,range-linearizable,3,187616.96616247526,184884.17765219638,191071.35207976596,0.000281662,0.001218919
tmpfs,mixed,3,1701.071276664797,1676.4935116492152,1781.9244227938236,0.024625247,0.0414652
root-ext4,put,3,13889.559911854732,13833.918357889632,13890.603133044664,0.004597071,0.010326151
root-ext4,range-linearizable,3,192549.022884952,192230.4313854164,193019.60968923738,0.000275492,0.001163698
root-ext4,mixed,3,1738.4317093543464,1730.8926434698083,1742.7231739393662,0.021932768,0.039879868
