phase,records,records_per_second,MB_per_second,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_p999_ms,latency_max_ms
producer-durable,1000,411.861614,1.61,1199.07,1235,2133,2212,2229,2229.00
producer-stream,20000,62111.801242,242.62,3.85,3,9,14,20,132.00
