tag,tree,transport,mode,workers,per_worker_qd,aggregate_qd,fua,variant,cohort,observed_cohorts,cohort_complete,repeat,ops_per_sec,latency_avg_us,latency_p50_us,latency_p95_us,latency_p99_us,cpu_ns_per_op,reported_completion,completion_semantic,source
current-tcp-write-w2-qd256,current,tcp,write,2,256,512,false,curve,1,1,true,3,572954,887.806,841.0,2000.0,2000.0,3469.7,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-tcp-write-w2-qd256/results.log
current-tcp-write-w2-qd256,current,tcp,write,2,256,512,false,curve,1,1,true,4,572277,887.895,840.0,2000.0,2000.0,3470.0,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-tcp-write-w2-qd256/results.log
current-tcp-write-w2-qd32,current,tcp,write,2,32,64,false,curve,1,1,true,1,571786,111.201,132.0,137.0,183.0,3487.1,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-tcp-write-w2-qd32/results.log
current-tcp-write-w2-qd32,current,tcp,write,2,32,64,false,curve,1,1,true,2,572197,111.235,132.0,137.0,183.0,3487.5,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-tcp-write-w2-qd32/results.log
current-tcp-write-w2-qd32,current,tcp,write,2,32,64,false,curve,1,1,true,3,572115,111.251,132.0,137.0,184.0,3487.5,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-tcp-write-w2-qd32/results.log
current-tcp-write-w2-qd32,current,tcp,write,2,32,64,false,curve,1,1,true,4,571554,111.227,132.0,137.0,184.0,3487.1,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-tcp-write-w2-qd32/results.log
current-tcp-write-w2-qd64,current,tcp,write,2,64,128,false,curve,1,1,true,1,573075,222.744,201.0,272.0,418.0,3484.9,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-tcp-write-w2-qd64/results.log
current-tcp-write-w2-qd64,current,tcp,write,2,64,128,false,curve,1,1,true,2,572955,222.748,201.0,272.0,417.0,3485.1,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-tcp-write-w2-qd64/results.log
current-tcp-write-w2-qd64,current,tcp,write,2,64,128,false,curve,1,1,true,3,572798,222.742,201.0,272.0,418.0,3485.1,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-tcp-write-w2-qd64/results.log
current-tcp-write-w2-qd64,current,tcp,write,2,64,128,false,curve,1,1,true,4,571275,222.692,201.0,272.0,416.0,3484.2,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/current-tcp-write-w2-qd64/results.log
gate-current-efa-read-w1-qd1,current,efa,read,1,1,1,false,gate,1,1,true,1,44947,22.195,22.0,26.0,26.0,22248.8,ordinary-device-ack,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-efa-read-w1-qd1/results.log
gate-current-efa-read-w1-qd1,current,efa,read,1,1,1,false,gate,1,1,true,2,44815,22.261,23.0,26.0,26.0,22314.1,ordinary-device-ack,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-efa-read-w1-qd1/results.log
gate-current-efa-read-w1-qd1,current,efa,read,1,1,1,false,gate,1,1,true,3,44928,22.205,23.0,26.0,26.0,22258.4,ordinary-device-ack,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-efa-read-w1-qd1/results.log
gate-current-efa-read-w1-qd1,current,efa,read,1,1,1,false,gate,1,1,true,4,44850,22.244,23.0,26.0,26.0,22296.9,ordinary-device-ack,remote-read-completion,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-efa-read-w1-qd1/results.log
gate-current-efa-rw-w1-qd1,current,efa,rw,1,1,1,false,gate,1,1,true,1,72360,13.765,5.0,30.0,43.0,13820.0,ordinary-device-ack,mixed-remote-reads-and-early-local-writes,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-efa-rw-w1-qd1/results.log
gate-current-efa-rw-w1-qd1,current,efa,rw,1,1,1,false,gate,1,1,true,2,72520,13.735,5.0,30.0,43.0,13789.7,ordinary-device-ack,mixed-remote-reads-and-early-local-writes,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-efa-rw-w1-qd1/results.log
gate-current-efa-rw-w1-qd1,current,efa,rw,1,1,1,false,gate,1,1,true,3,72509,13.737,5.0,30.0,43.0,13791.5,ordinary-device-ack,mixed-remote-reads-and-early-local-writes,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-efa-rw-w1-qd1/results.log
gate-current-efa-rw-w1-qd1,current,efa,rw,1,1,1,false,gate,1,1,true,4,72621,13.715,5.0,30.0,43.0,13770.3,ordinary-device-ack,mixed-remote-reads-and-early-local-writes,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-efa-rw-w1-qd1/results.log
gate-current-efa-write-w1-qd1,current,efa,write,1,1,1,false,gate,1,1,true,1,35545,28.079,5.0,106.0,110.0,28132.6,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-efa-write-w1-qd1/results.log
gate-current-efa-write-w1-qd1,current,efa,write,1,1,1,false,gate,1,1,true,2,40368,24.719,5.0,106.0,109.0,24772.4,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-efa-write-w1-qd1/results.log
gate-current-efa-write-w1-qd1,current,efa,write,1,1,1,false,gate,1,1,true,3,40348,24.731,5.0,106.0,110.0,24784.5,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-efa-write-w1-qd1/results.log
gate-current-efa-write-w1-qd1,current,efa,write,1,1,1,false,gate,1,1,true,4,40333,24.739,5.0,106.0,109.0,24793.4,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-efa-write-w1-qd1/results.log
