tag,tree,transport,mode,workers,per_worker_qd,aggregate_qd,fua,variant,cohort,observed_cohorts,cohort_complete,repeats,analyzed_repeats,mean_iops,min_iops,max_iops,spread_pct,all_repeat_mean_iops,latency_avg_us,latency_p50_us,latency_p95_us,latency_p99_us,cpu_ns_per_op,reported_completion,completion_semantic,source
current-nvmet-rw-w1-qd1-repeat3,current,nvme-tcp,rw,1,1,1,false,curve-repeat3,1,1,true,4,"2,3,4",28078,27986,28136,0.534,28100,35.557,32.0,36.0,45.667,31229.2,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-rw-w1-qd1-repeat3/results.log
current-nvmet-rw-w1-qd16,current,nvme-tcp,rw,1,16,16,false,curve,1,1,true,4,"2,3,4",56553,43412,74504,54.979,63662,296.558,133.333,248.0,3000.0,8996.2,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-rw-w1-qd16/results.log
current-nvmet-rw-w1-qd2-resume,current,nvme-tcp,rw,1,2,2,false,curve-resume,1,1,true,4,"2,3,4",43099,42110,43896,4.144,43236,46.333,39.0,48.0,53.667,18463.9,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-rw-w1-qd2-resume/results.log
current-nvmet-rw-w1-qd4,current,nvme-tcp,rw,1,4,4,false,curve,1,1,true,4,"2,3,4",45883,10466,64535,117.84,50919,169.216,47.0,64.0,72.0,10977.4,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-rw-w1-qd4/results.log
current-nvmet-rw-w1-qd4-repeat,current,nvme-tcp,rw,1,4,4,false,curve-repeat,1,1,true,4,"2,3,4",45121,36228,52474,36.005,50502,90.668,46.0,63.0,71.333,10807.3,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-rw-w1-qd4-repeat/results.log
current-nvmet-rw-w1-qd8,current,nvme-tcp,rw,1,8,8,false,curve,1,1,true,4,"2,3,4",56107,43467,65318,38.945,58192,146.543,97.0,104.667,2000.0,12084.3,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-rw-w1-qd8/results.log
current-nvmet-rw-w2-qd128,current,nvme-tcp,rw,2,128,256,false,curve,1,1,true,4,"2,3,4",263723,252835,280129,10.35,266209,932.17,869.667,2000.0,2000.0,4809.6,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-rw-w2-qd128/results.log
current-nvmet-rw-w2-qd256,current,nvme-tcp,rw,2,256,512,false,curve,1,1,true,4,"2,3,4",270309,267417,275074,2.833,272491,1823.328,2000.0,2000.0,2000.0,4779.4,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-rw-w2-qd256/results.log
current-nvmet-rw-w2-qd32-resume2,current,nvme-tcp,rw,2,32,64,false,curve-resume2,1,1,true,4,"2,3,4",152488,148130,154788,4.366,153484,411.914,418.333,499.0,523.0,10025.2,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-rw-w2-qd32-resume2/results.log
current-nvmet-rw-w2-qd64,current,nvme-tcp,rw,2,64,128,false,curve,1,1,true,4,"2,3,4",155731,155614,155960,0.222,155682,821.095,845.333,937.333,1666.667,10140.6,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-rw-w2-qd64/results.log
current-nvmet-write-w1-qd16,current,nvme-tcp,write,1,16,16,false,curve,1,1,true,4,"2,3,4",53254,32750,87705,103.194,61453,358.425,128.667,243.333,3000.0,9039.2,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-write-w1-qd16/results.log
