workload	lanes	touch	repeat	topology_preflight_representative	topology_preflight_warnings	logical_4k_iops	first_hop_Gibitps	branch_or_ref_Gibitps	payload_copy_bytes	payload_reference_bytes	control_descriptor_bytes	observed_payload_touch_bytes	local_memory_traffic_bytes_lower_bound	payload_slots_per_lane	syncs	sync_wait_seconds	dirty_window_drains	ack_records	acks	ack_wait_seconds	voluntary_ctxt_switches	involuntary_ctxt_switches	migrations	sync_wait_p50_ns	ack_wait_p50_ns	dirty_window_wait_p50_ns	fan_leaf_sync_wait_p50_ns	fan_leaf_ack_wait_p50_ns	hwm_only_results	lane_cpu_map
zcnblk-shm-pipeline	4	none	1	0	4	350691771	5745.734	5745.734	0	163840000000	5120000000	0	5120000000	65536	1224	0.278632	0	0	0	0.000000	0	4	0	10000	0	0	3000	0	true	lane0:client_cpu0->fan_cpu1->leaf_cpu2,lane1:client_cpu3->fan_cpu4->leaf_cpu5,lane2:client_cpu6->fan_cpu7->leaf_cpu8,lane3:client_cpu9->fan_cpu10->leaf_cpu11
zcnblk-shm-pipeline	4	none	2	0	4	348567381	5710.928	5710.928	0	163840000000	5120000000	0	5120000000	65536	1224	0.280786	0	0	0	0.000000	0	2	0	10000	0	0	3000	0	true	lane0:client_cpu0->fan_cpu1->leaf_cpu2,lane1:client_cpu3->fan_cpu4->leaf_cpu5,lane2:client_cpu6->fan_cpu7->leaf_cpu8,lane3:client_cpu9->fan_cpu10->leaf_cpu11
zcnblk-shm-pipeline	4	none	3	0	4	350378652	5740.604	5740.604	0	163840000000	5120000000	0	5120000000	65536	1224	0.277023	0	0	0	0.000000	0	6	0	12000	0	0	3000	0	true	lane0:client_cpu0->fan_cpu1->leaf_cpu2,lane1:client_cpu3->fan_cpu4->leaf_cpu5,lane2:client_cpu6->fan_cpu7->leaf_cpu8,lane3:client_cpu9->fan_cpu10->leaf_cpu11
zcnblk-shm-mirror	4	none	1	0	4	798997769	13090.779	26181.559	0	327680000000	7680000000	0	7680000000	65536	1224	0.214091	0	0	0	0.000000	0	4	0	10000	0	0	4000	0	true	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror	4	none	2	0	4	899212740	14732.702	29465.403	0	327680000000	7680000000	0	7680000000	65536	1224	0.193747	0	0	0	0.000000	0	16	0	34000	0	0	3000	0	true	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror	4	none	3	0	4	812688233	13315.084	26630.168	0	327680000000	7680000000	0	7680000000	65536	1224	0.220807	0	0	0	0.000000	0	19	0	141000	0	0	3000	0	true	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
