zcnblk0-batch64-window1-randwrite: (g=0): rw=randwrite, bs=(R) 4096B-4096B, (W) 4096B-4096B, (T) 4096B-4096B, ioengine=io_uring, iodepth=64
...
fio-3.39
Starting 8 processes

fio: terminating on signal 15
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=459112448, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=35540992, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=213688320, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=396070912, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=421171200, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=72851456, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=130535424, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=182841344, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=359763968, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=24182784, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=35422208, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=3719168, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=304697344, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=76984320, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=203665408, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=5558272, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=282968064, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=414900224, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=295899136, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=329646080, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=506843136, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=378830848, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=533516288, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=291504128, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=44437504, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=185008128, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=294006784, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=299872256, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=96948224, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=54013952, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=498450432, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=148942848, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=173121536, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=372477952, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=156852224, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=245719040, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=420270080, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=2154496, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=68943872, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=85954560, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=180535296, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=202264576, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=110301184, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=519213056, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=222949376, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=358207488, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=77598720, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=107466752, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=252911616, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=96092160, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=459231232, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=363749376, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=61333504, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=417296384, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=411832320, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=255946752, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=408649728, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=109244416, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=266813440, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=184164352, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=144244736, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=464326656, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=117125120, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=428720128, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=22908928, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=161562624, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=185917440, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=121749504, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=140103680, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=16736256, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=287371264, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=343568384, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=355414016, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=141221888, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=199618560, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=270430208, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=378109952, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=284655616, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=59424768, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=431951872, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=321773568, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=415227904, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=290553856, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=159633408, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=129462272, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=264970240, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=199671808, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=343470080, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=328314880, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=245526528, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=140103680, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=200777728, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=175075328, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=375832576, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=401518592, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=217907200, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=496730112, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=19238912, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=172367872, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=204095488, buflen=4096
fio: pid=2929775, err=5/file:io_u.c:1976, func=io_u error, error=Input/output error
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=382308352, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=516861952, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=25387008, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=380440576, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=106373120, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=9453568, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=205012992, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=6688768, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=359473152, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=348479488, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=242524160, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=143937536, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=251326464, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=78622720, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=211517440, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=485842944, buflen=4096
fio: pid=2929774, err=5/file:io_u.c:1976, func=io_u error, error=Input/output error
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=512585728, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=147058688, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=210313216, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=299593728, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=162516992, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=148291584, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=146112512, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=103202816, buflen=4096
