workload	lanes	touch	repeat	topology_preflight_representative	topology_preflight_warnings	logical_4k_iops	first_hop_Gibitps	branch_or_ref_Gibitps	payload_copy_bytes	payload_reference_bytes	control_descriptor_bytes	observed_payload_touch_bytes	local_memory_traffic_bytes_lower_bound	payload_slots_per_lane	working_set_records	client_visible_read_records	internal_dirty_cache_read_records	dirty_table_bytes	syncs	sync_wait_seconds	dirty_window_drains	ack_records	acks	ack_wait_seconds	voluntary_ctxt_switches	involuntary_ctxt_switches	migrations	sync_wait_p50_ns	ack_wait_p50_ns	dirty_window_wait_p50_ns	fan_leaf_sync_wait_p50_ns	fan_leaf_ack_wait_p50_ns	hwm_only_results	leaf_batch_delay_ns	early_client_responses	client_response_release	payload_slot_reuse	fan_touch_payload	leaf_touch_payload	zero_copy_forwarding_target	lane_cpu_map
zcnblk-shm-mirror-dirty-cache	4	none	1	0	4	337160129	5524.032	11048.063	0	16384000000	384000000	0	384000000	8192	65536	2000000	2000000	2097152	8	0.000021	0	8192	488	0.033359	2	1	0	700	9000	0	600	4000	true	0	true	local-dirty-cache	mirror-leaf-hwm	false	false	1	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror-dirty-cache	4	none	2	0	4	305442162	5004.364	10008.729	0	16384000000	384000000	0	384000000	8192	65536	2000000	2000000	2097152	8	0.000022	0	8192	488	0.037334	1	4	0	800	22000	0	600	4000	true	0	true	local-dirty-cache	mirror-leaf-hwm	false	false	1	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
