phase,records,records_per_second,MB_per_second,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_p999_ms,latency_max_ms
producer-durable,1000,412.541254,1.61,1209.72,1245,2155,2235,2252,2252.00
producer-stream,20000,57306.590258,223.85,4.55,3,11,15,16,140.00
