phase,read_iops,write_iops,read_bytes_per_second,write_bytes_per_second,read_clat_mean_us,write_clat_mean_us,read_clat_p95_us,write_clat_p95_us,read_clat_p99_us,write_clat_p99_us,sync_ios,sync_lat_mean_us,sync_lat_p95_us,sync_lat_p99_us,errors
metadata-create,0.0,4000.0,0,16384000,0.0,7.1725,0.0,17.792,0.0,17.792,0,0.0,0.0,0.0,0
sync-write-qd1,0.0,34469.53047,0,141187196,0.0,2.237904301,0.0,2.768,0.0,3.088,34504,26.137173255,30.08,35.584,0
random-mixed-qd1,25806.193806,11031.968032,105702169,45186941,25.777751781,27.152630716,28.288,29.824,34.048,37.632,0,0.0,0.0,0.0,0
random-mixed-qd16,207285.714286,89162.837163,849042285,365210981,52.636974124,53.905138675,97.792,98.816,125.44,127.488,0,0.0,0.0,0.0,0
stream-write,0.0,4000.0,0,4194304000,0.0,1737.448,0.0,1744.896,0.0,1744.896,0,0.0,0.0,0.0,0
stream-read-warm,4000.0,0.0,4194304000,0,1247.021,0.0,1253.376,0.0,1253.376,0.0,0,0.0,0.0,0.0,0
