phase,voluntary_context_switches,nonvoluntary_context_switches
metadata-create,64,0
sync-write-qd1,69026,13
random-mixed-qd1,73755,6
random-mixed-qd16,303125,3527
stream-write,43,3
stream-read-warm,20,0
