phase,total_seconds,requests_per_second,average_seconds,p50_seconds,p90_seconds,p99_seconds
mixed,27.627775091,908.3974340074737,0.04443191660959477,0.044465211,0.057213961,0.065692724
put,8.364450274,11955.358299019283,0.005350593082470042,0.004990501,0.006976289,0.010707236
range-linearizable,0.85492382,116969.48624030619,0.0005310402052100019,0.000435344,0.000938274,0.001840895
