leaf,exit_code,outdir
zcmem,0,bench-results/local-zcnblk-wal-lease-leaf-ab-20260711T131213Z/zcmem
zcleasemem,0,bench-results/local-zcnblk-wal-lease-leaf-ab-20260711T131213Z/zcleasemem
