phase,total_seconds,requests_per_second,average_seconds,p50_seconds,p90_seconds,p99_seconds
mixed,28.791467465,1738.4317093543464,0.02209807525315679,0.022086029,0.030940938,0.039879868
put,14.399304317,13889.559911854732,0.004605805712574955,0.004597071,0.005257066,0.010696152
range-linearizable,1.03869652,192549.022884952,0.0003279842041200005,0.000276102,0.000539604,0.001163698
