workload	lanes	touch	repeat	logical_4k_iops	first_hop_Gibitps	branch_or_ref_Gibitps	payload_copy_bytes	payload_reference_bytes	control_descriptor_bytes	observed_payload_touch_bytes	local_memory_traffic_bytes_lower_bound	voluntary_ctxt_switches	involuntary_ctxt_switches	migrations	sync_wait_p50_ns	dirty_window_wait_p50_ns	fan_leaf_sync_wait_p50_ns	lane_cpu_map
zcnblk-shm-mirror-dirty-cache	4	full	1	40338467	440.604	881.207	0	16384000000	384000000	8192000000	8576000000	0	6	0	37000	0	23000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror-dirty-cache	4	full	2	40074561	437.721	875.442	0	16384000000	384000000	8192000000	8576000000	0	6	0	36000	0	24000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
zcnblk-shm-mirror-dirty-cache	4	full	3	40151085	438.557	877.114	0	16384000000	384000000	8192000000	8576000000	0	8	0	39000	0	24000	lane0:client_cpu0->fan_cpu1->leaf0_cpu2+leaf1_cpu3,lane1:client_cpu4->fan_cpu5->leaf0_cpu6+leaf1_cpu7,lane2:client_cpu8->fan_cpu9->leaf0_cpu10+leaf1_cpu11,lane3:client_cpu12->fan_cpu13->leaf0_cpu14+leaf1_cpu15
