phase,read_iops,write_iops,read_bytes_per_second,write_bytes_per_second,read_clat_mean_us,write_clat_mean_us,read_clat_p95_us,write_clat_p95_us,read_clat_p99_us,write_clat_p99_us,sync_ios,sync_lat_mean_us,sync_lat_p95_us,sync_lat_p99_us,errors
metadata-create,0.0,187.230856,0,766897,0.0,2.007106,0.0,2.32,0.0,3.568,0,0.0,0.0,0.0,0
sync-write-qd1,0.0,367.421719,0,1504959,0.0,2.107432457,0.0,2.384,0.0,4.896,1103,2718.302177697,2899.968,3162.112,0
random-mixed-qd1,913.234706,406.437425,3740609,1664767,44.830706436,2344.96938908,48.384,2375.68,61.184,2506.752,0,0.0,0.0,0.0,0
random-mixed-qd16,7359.440559,3211.388611,30144268,13153847,59.812111039,4831.712817707,88.576,5341.184,100.864,5603.328,0,0.0,0.0,0.0,0
stream-write,0.0,185.776488,0,194800766,0.0,85948.915533203,0.0,108527.616,0.0,137363.456,0,0.0,0.0,0.0,0
stream-read-warm,11636.363636,0.0,12201611636,0,1336.080779297,0.0,1941.504,0.0,3358.72,0.0,0,0.0,0.0,0.0,0
