phase,voluntary_context_switches,nonvoluntary_context_switches
metadata-create,18206,4
sync-write-qd1,4431,0
random-mixed-qd1,17293,2
random-mixed-qd16,141223,52
stream-write,127364,25
stream-read-warm,1030,0
