ring_mode,exit_code,outdir
sqpoll,1,bench-results/local-zcnblk-wal-sqpoll-hot-20260711T130210Z/sqpoll
sqpoll-no-sqarray,0,bench-results/local-zcnblk-wal-sqpoll-hot-20260711T130210Z/sqpoll-no-sqarray
