[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2136: was 0x00000000fef67078
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2137: was 0x00000000fef601e0
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2138: was 0x00000000fef5b420
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2139: was 0x00000000fef56238
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2140: was 0x00000000fef5a5e0
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2141: was 0x00000000fef5b8e8
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2142: was 0x00000000fef61a30
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2143: was 0x00000000fef5b9d0
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2144: was 0x00000000fef61668
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2145: was 0x00000000fef5dea0
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2146: was 0x00000000fef67508
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2147: was 0x00000000fef5bc08
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2148: was 0x00000000fef594f0
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2149: was 0x00000000fef5b548
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2150: was 0x00000000fef5eea0
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2151: was 0x00000000fef5f0f8
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2152: was 0x00000000fef5a8f0
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2153: was 0x00000000fef5b1e8
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 2154: was 0x00000000fef5ec78
