phase,records,records_per_second,MB_per_second,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_p999_ms,latency_max_ms
producer-durable,200,884.955752,0.86,64.75,68,97,99,129,129.00
producer-stream,1000,7633.587786,7.45,8.15,8,11,13,123,123.00
