phase,op_rate_per_second,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_p999_ms,total_errors
write,4428,2.7,2.4,4.8,7.4,11.8,0
read,16133,0.8,0.5,2.5,5.9,19.2,0
mixed,7049,1.5,0.6,4.2,6.6,11.3,0
